,Date,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP
8,2018-10-01,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-01,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-01,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-01,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
12,2018-10-01,Joey Lucchesi,SDP,20.2,86,8.3,3.0,2.7,2.6,22.1%,8.1%,14.0%,.266,1.35,.278,96.9%,6.11,3.86
13,2018-10-01,Kyle Freeland,COL,51.1,210,7.9,2.6,3.0,0.9,21.4%,7.1%,14.3%,.237,1.19,.285,78.2%,3.61,3.86
14,2018-10-01,Tyson Ross,SDP,46.1,196,9.1,3.5,2.6,1.0,24.0%,9.2%,14.8%,.239,1.29,.298,78.2%,3.83,3.75
15,2018-10-01,Alex Wood,LAD,40.0,174,9.0,2.5,3.6,1.4,23.0%,6.3%,16.7%,.290,1.45,.353,67.2%,4.01,3.67
16,2018-10-01,Andrew Suarez,SFG,42.2,179,8.4,1.9,4.4,1.3,22.4%,5.0%,17.3%,.278,1.31,.333,63.8%,3.82,3.58
17,2018-10-01,Kenta Maeda,LAD,32.0,131,10.4,3.4,3.1,1.1,28.2%,9.2%,19.1%,.210,1.16,.269,73.3%,3.60,3.57
18,2018-10-01,Patrick Corbin,ARI,53.2,224,10.4,3.2,3.3,1.2,27.7%,8.5%,19.2%,.228,1.21,.293,75.6%,3.78,3.47
19,2018-10-01,Zack Greinke,ARI,49.0,199,9.4,1.8,5.1,1.3,25.6%,5.0%,20.6%,.229,1.08,.277,86.0%,3.61,3.44
20,2018-10-01,Clayton Richard,SDP,54.1,220,7.5,2.3,3.2,0.7,20.4%,6.4%,14.1%,.213,1.05,.255,66.8%,3.46,3.29
21,2018-10-01,Walker Buehler,LAD,46.1,181,9.5,1.6,6.1,0.4,27.1%,4.4%,22.7%,.199,0.91,.267,68.0%,2.25,3.01
22,2018-10-01,Jon Gray,COL,43.1,197,11.6,3.5,3.3,0.8,28.4%,8.6%,19.8%,.268,1.50,.370,64.6%,3.02,3.00
23,2018-10-01,Ross Stripling,LAD,44.2,176,11.1,1.0,11.0,1.0,31.3%,2.8%,28.4%,.234,1.01,.315,89.5%,2.49,2.40
0,2018-10-02,Jeff Samardzija,SFG,27.0,123,6.3,5.3,1.2,1.7,15.4%,13.0%,2.4%,.255,1.59,.268,62.2%,6.05,6.03
1,2018-10-02,Matt Koch,ARI,46.0,194,4.3,2.0,2.2,2.2,11.3%,5.1%,6.2%,.283,1.33,.272,74.6%,6.23,5.13
2,2018-10-02,Eric Lauer,SDP,36.1,176,8.7,5.0,1.8,1.5,19.9%,11.4%,8.5%,.327,1.95,.391,76.7%,5.03,4.93
3,2018-10-02,Ty Blach,SFG,29.1,133,4.3,2.8,1.6,0.6,10.5%,6.8%,3.8%,.325,1.67,.355,61.4%,4.12,4.86
4,2018-10-02,Chris Stratton,SFG,44.0,201,7.6,4.7,1.6,1.6,18.4%,11.4%,7.0%,.299,1.73,.341,69.9%,5.48,4.77
5,2018-10-02,Zack Godley,ARI,42.1,196,8.9,5.1,1.8,1.7,21.4%,12.2%,9.2%,.268,1.63,.314,68.0%,5.62,4.76
6,2018-10-02,Derek Holland,SFG,42.1,177,6.8,3.4,2.0,1.1,18.1%,9.0%,9.0%,.250,1.32,.285,76.0%,4.39,4.69
7,2018-10-02,Clay Buchholz,ARI,28.0,114,7.4,1.6,4.6,1.3,20.2%,4.4%,15.8%,.222,1.04,.247,77.9%,4.02,4.58
8,2018-10-02,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-02,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-02,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-02,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
12,2018-10-02,Joey Lucchesi,SDP,20.2,86,8.3,3.0,2.7,2.6,22.1%,8.1%,14.0%,.266,1.35,.278,96.9%,6.11,3.86
13,2018-10-02,Kyle Freeland,COL,51.1,210,7.9,2.6,3.0,0.9,21.4%,7.1%,14.3%,.237,1.19,.285,78.2%,3.61,3.86
14,2018-10-02,Tyson Ross,SDP,46.1,196,9.1,3.5,2.6,1.0,24.0%,9.2%,14.8%,.239,1.29,.298,78.2%,3.83,3.75
15,2018-10-02,Alex Wood,LAD,40.0,174,9.0,2.5,3.6,1.4,23.0%,6.3%,16.7%,.290,1.45,.353,67.2%,4.01,3.67
16,2018-10-02,Andrew Suarez,SFG,42.2,179,8.4,1.9,4.4,1.3,22.4%,5.0%,17.3%,.278,1.31,.333,63.8%,3.82,3.58
17,2018-10-02,Kenta Maeda,LAD,32.0,131,10.4,3.4,3.1,1.1,28.2%,9.2%,19.1%,.210,1.16,.269,73.3%,3.60,3.57
18,2018-10-02,Patrick Corbin,ARI,53.2,224,10.4,3.2,3.3,1.2,27.7%,8.5%,19.2%,.228,1.21,.293,75.6%,3.78,3.47
19,2018-10-02,Zack Greinke,ARI,49.0,199,9.4,1.8,5.1,1.3,25.6%,5.0%,20.6%,.229,1.08,.277,86.0%,3.61,3.44
20,2018-10-02,Clayton Richard,SDP,54.1,220,7.5,2.3,3.2,0.7,20.4%,6.4%,14.1%,.213,1.05,.255,66.8%,3.46,3.29
21,2018-10-02,Walker Buehler,LAD,46.1,181,9.5,1.6,6.1,0.4,27.1%,4.4%,22.7%,.199,0.91,.267,68.0%,2.25,3.01
22,2018-10-02,Jon Gray,COL,43.1,197,11.6,3.5,3.3,0.8,28.4%,8.6%,19.8%,.268,1.50,.370,64.6%,3.02,3.00
23,2018-10-02,Ross Stripling,LAD,44.2,176,11.1,1.0,11.0,1.0,31.3%,2.8%,28.4%,.234,1.01,.315,89.5%,2.49,2.40
0,2018-10-03,Jeff Samardzija,SFG,27.0,123,6.3,5.3,1.2,1.7,15.4%,13.0%,2.4%,.255,1.59,.268,62.2%,6.05,6.03
1,2018-10-03,Matt Koch,ARI,46.0,194,4.3,2.0,2.2,2.2,11.3%,5.1%,6.2%,.283,1.33,.272,74.6%,6.23,5.13
2,2018-10-03,Eric Lauer,SDP,36.1,176,8.7,5.0,1.8,1.5,19.9%,11.4%,8.5%,.327,1.95,.391,76.7%,5.03,4.93
3,2018-10-03,Ty Blach,SFG,29.1,133,4.3,2.8,1.6,0.6,10.5%,6.8%,3.8%,.325,1.67,.355,61.4%,4.12,4.86
4,2018-10-03,Chris Stratton,SFG,44.0,201,7.6,4.7,1.6,1.6,18.4%,11.4%,7.0%,.299,1.73,.341,69.9%,5.48,4.77
5,2018-10-03,Zack Godley,ARI,42.1,196,8.9,5.1,1.8,1.7,21.4%,12.2%,9.2%,.268,1.63,.314,68.0%,5.62,4.76
6,2018-10-03,Derek Holland,SFG,42.1,177,6.8,3.4,2.0,1.1,18.1%,9.0%,9.0%,.250,1.32,.285,76.0%,4.39,4.69
7,2018-10-03,Clay Buchholz,ARI,28.0,114,7.4,1.6,4.6,1.3,20.2%,4.4%,15.8%,.222,1.04,.247,77.9%,4.02,4.58
8,2018-10-03,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-03,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-03,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-03,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
12,2018-10-03,Joey Lucchesi,SDP,20.2,86,8.3,3.0,2.7,2.6,22.1%,8.1%,14.0%,.266,1.35,.278,96.9%,6.11,3.86
13,2018-10-03,Kyle Freeland,COL,51.1,210,7.9,2.6,3.0,0.9,21.4%,7.1%,14.3%,.237,1.19,.285,78.2%,3.61,3.86
14,2018-10-03,Tyson Ross,SDP,46.1,196,9.1,3.5,2.6,1.0,24.0%,9.2%,14.8%,.239,1.29,.298,78.2%,3.83,3.75
15,2018-10-03,Alex Wood,LAD,40.0,174,9.0,2.5,3.6,1.4,23.0%,6.3%,16.7%,.290,1.45,.353,67.2%,4.01,3.67
16,2018-10-03,Andrew Suarez,SFG,42.2,179,8.4,1.9,4.4,1.3,22.4%,5.0%,17.3%,.278,1.31,.333,63.8%,3.82,3.58
17,2018-10-03,Kenta Maeda,LAD,32.0,131,10.4,3.4,3.1,1.1,28.2%,9.2%,19.1%,.210,1.16,.269,73.3%,3.60,3.57
18,2018-10-03,Patrick Corbin,ARI,53.2,224,10.4,3.2,3.3,1.2,27.7%,8.5%,19.2%,.228,1.21,.293,75.6%,3.78,3.47
19,2018-10-03,Zack Greinke,ARI,49.0,199,9.4,1.8,5.1,1.3,25.6%,5.0%,20.6%,.229,1.08,.277,86.0%,3.61,3.44
20,2018-10-03,Clayton Richard,SDP,54.1,220,7.5,2.3,3.2,0.7,20.4%,6.4%,14.1%,.213,1.05,.255,66.8%,3.46,3.29
21,2018-10-03,Walker Buehler,LAD,46.1,181,9.5,1.6,6.1,0.4,27.1%,4.4%,22.7%,.199,0.91,.267,68.0%,2.25,3.01
22,2018-10-03,Jon Gray,COL,43.1,197,11.6,3.5,3.3,0.8,28.4%,8.6%,19.8%,.268,1.50,.370,64.6%,3.02,3.00
23,2018-10-03,Ross Stripling,LAD,44.2,176,11.1,1.0,11.0,1.0,31.3%,2.8%,28.4%,.234,1.01,.315,89.5%,2.49,2.40
0,2018-10-04,Jeff Samardzija,SFG,27.0,123,6.3,5.3,1.2,1.7,15.4%,13.0%,2.4%,.255,1.59,.268,62.2%,6.05,6.03
1,2018-10-04,Matt Koch,ARI,46.0,194,4.3,2.0,2.2,2.2,11.3%,5.1%,6.2%,.283,1.33,.272,74.6%,6.23,5.13
2,2018-10-04,Eric Lauer,SDP,36.1,176,8.7,5.0,1.8,1.5,19.9%,11.4%,8.5%,.327,1.95,.391,76.7%,5.03,4.93
3,2018-10-04,Ty Blach,SFG,29.1,133,4.3,2.8,1.6,0.6,10.5%,6.8%,3.8%,.325,1.67,.355,61.4%,4.12,4.86
4,2018-10-04,Chris Stratton,SFG,44.0,201,7.6,4.7,1.6,1.6,18.4%,11.4%,7.0%,.299,1.73,.341,69.9%,5.48,4.77
5,2018-10-04,Zack Godley,ARI,42.1,196,8.9,5.1,1.8,1.7,21.4%,12.2%,9.2%,.268,1.63,.314,68.0%,5.62,4.76
6,2018-10-04,Derek Holland,SFG,42.1,177,6.8,3.4,2.0,1.1,18.1%,9.0%,9.0%,.250,1.32,.285,76.0%,4.39,4.69
7,2018-10-04,Clay Buchholz,ARI,28.0,114,7.4,1.6,4.6,1.3,20.2%,4.4%,15.8%,.222,1.04,.247,77.9%,4.02,4.58
8,2018-10-04,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-04,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-04,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-04,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
12,2018-10-04,Joey Lucchesi,SDP,20.2,86,8.3,3.0,2.7,2.6,22.1%,8.1%,14.0%,.266,1.35,.278,96.9%,6.11,3.86
13,2018-10-04,Kyle Freeland,COL,51.1,210,7.9,2.6,3.0,0.9,21.4%,7.1%,14.3%,.237,1.19,.285,78.2%,3.61,3.86
14,2018-10-04,Tyson Ross,SDP,46.1,196,9.1,3.5,2.6,1.0,24.0%,9.2%,14.8%,.239,1.29,.298,78.2%,3.83,3.75
15,2018-10-04,Alex Wood,LAD,40.0,174,9.0,2.5,3.6,1.4,23.0%,6.3%,16.7%,.290,1.45,.353,67.2%,4.01,3.67
16,2018-10-04,Andrew Suarez,SFG,42.2,179,8.4,1.9,4.4,1.3,22.4%,5.0%,17.3%,.278,1.31,.333,63.8%,3.82,3.58
17,2018-10-04,Kenta Maeda,LAD,32.0,131,10.4,3.4,3.1,1.1,28.2%,9.2%,19.1%,.210,1.16,.269,73.3%,3.60,3.57
18,2018-10-04,Patrick Corbin,ARI,53.2,224,10.4,3.2,3.3,1.2,27.7%,8.5%,19.2%,.228,1.21,.293,75.6%,3.78,3.47
19,2018-10-04,Zack Greinke,ARI,49.0,199,9.4,1.8,5.1,1.3,25.6%,5.0%,20.6%,.229,1.08,.277,86.0%,3.61,3.44
20,2018-10-04,Clayton Richard,SDP,54.1,220,7.5,2.3,3.2,0.7,20.4%,6.4%,14.1%,.213,1.05,.255,66.8%,3.46,3.29
21,2018-10-04,Walker Buehler,LAD,46.1,181,9.5,1.6,6.1,0.4,27.1%,4.4%,22.7%,.199,0.91,.267,68.0%,2.25,3.01
22,2018-10-04,Jon Gray,COL,43.1,197,11.6,3.5,3.3,0.8,28.4%,8.6%,19.8%,.268,1.50,.370,64.6%,3.02,3.00
23,2018-10-04,Ross Stripling,LAD,44.2,176,11.1,1.0,11.0,1.0,31.3%,2.8%,28.4%,.234,1.01,.315,89.5%,2.49,2.40
0,2018-10-05,Jeff Samardzija,SFG,27.0,123,6.3,5.3,1.2,1.7,15.4%,13.0%,2.4%,.255,1.59,.268,62.2%,6.05,6.03
1,2018-10-05,Matt Koch,ARI,46.0,194,4.3,2.0,2.2,2.2,11.3%,5.1%,6.2%,.283,1.33,.272,74.6%,6.23,5.13
2,2018-10-05,Eric Lauer,SDP,36.1,176,8.7,5.0,1.8,1.5,19.9%,11.4%,8.5%,.327,1.95,.391,76.7%,5.03,4.93
3,2018-10-05,Ty Blach,SFG,29.1,133,4.3,2.8,1.6,0.6,10.5%,6.8%,3.8%,.325,1.67,.355,61.4%,4.12,4.86
4,2018-10-05,Chris Stratton,SFG,44.0,201,7.6,4.7,1.6,1.6,18.4%,11.4%,7.0%,.299,1.73,.341,69.9%,5.48,4.77
5,2018-10-05,Zack Godley,ARI,42.1,196,8.9,5.1,1.8,1.7,21.4%,12.2%,9.2%,.268,1.63,.314,68.0%,5.62,4.76
6,2018-10-05,Derek Holland,SFG,42.1,177,6.8,3.4,2.0,1.1,18.1%,9.0%,9.0%,.250,1.32,.285,76.0%,4.39,4.69
7,2018-10-05,Clay Buchholz,ARI,28.0,114,7.4,1.6,4.6,1.3,20.2%,4.4%,15.8%,.222,1.04,.247,77.9%,4.02,4.58
8,2018-10-05,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-05,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-05,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-05,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
12,2018-10-05,Joey Lucchesi,SDP,20.2,86,8.3,3.0,2.7,2.6,22.1%,8.1%,14.0%,.266,1.35,.278,96.9%,6.11,3.86
13,2018-10-05,Kyle Freeland,COL,51.1,210,7.9,2.6,3.0,0.9,21.4%,7.1%,14.3%,.237,1.19,.285,78.2%,3.61,3.86
14,2018-10-05,Tyson Ross,SDP,46.1,196,9.1,3.5,2.6,1.0,24.0%,9.2%,14.8%,.239,1.29,.298,78.2%,3.83,3.75
15,2018-10-05,Alex Wood,LAD,40.0,174,9.0,2.5,3.6,1.4,23.0%,6.3%,16.7%,.290,1.45,.353,67.2%,4.01,3.67
16,2018-10-05,Andrew Suarez,SFG,42.2,179,8.4,1.9,4.4,1.3,22.4%,5.0%,17.3%,.278,1.31,.333,63.8%,3.82,3.58
17,2018-10-05,Kenta Maeda,LAD,32.0,131,10.4,3.4,3.1,1.1,28.2%,9.2%,19.1%,.210,1.16,.269,73.3%,3.60,3.57
18,2018-10-05,Patrick Corbin,ARI,53.2,224,10.4,3.2,3.3,1.2,27.7%,8.5%,19.2%,.228,1.21,.293,75.6%,3.78,3.47
19,2018-10-05,Zack Greinke,ARI,49.0,199,9.4,1.8,5.1,1.3,25.6%,5.0%,20.6%,.229,1.08,.277,86.0%,3.61,3.44
20,2018-10-05,Clayton Richard,SDP,54.1,220,7.5,2.3,3.2,0.7,20.4%,6.4%,14.1%,.213,1.05,.255,66.8%,3.46,3.29
21,2018-10-05,Walker Buehler,LAD,46.1,181,9.5,1.6,6.1,0.4,27.1%,4.4%,22.7%,.199,0.91,.267,68.0%,2.25,3.01
22,2018-10-05,Jon Gray,COL,43.1,197,11.6,3.5,3.3,0.8,28.4%,8.6%,19.8%,.268,1.50,.370,64.6%,3.02,3.00
23,2018-10-05,Ross Stripling,LAD,44.2,176,11.1,1.0,11.0,1.0,31.3%,2.8%,28.4%,.234,1.01,.315,89.5%,2.49,2.40
0,2018-10-06,Jeff Samardzija,SFG,27.0,123,6.3,5.3,1.2,1.7,15.4%,13.0%,2.4%,.255,1.59,.268,62.2%,6.05,6.03
1,2018-10-06,Matt Koch,ARI,46.0,194,4.3,2.0,2.2,2.2,11.3%,5.1%,6.2%,.283,1.33,.272,74.6%,6.23,5.13
2,2018-10-06,Eric Lauer,SDP,36.1,176,8.7,5.0,1.8,1.5,19.9%,11.4%,8.5%,.327,1.95,.391,76.7%,5.03,4.93
3,2018-10-06,Ty Blach,SFG,29.1,133,4.3,2.8,1.6,0.6,10.5%,6.8%,3.8%,.325,1.67,.355,61.4%,4.12,4.86
4,2018-10-06,Chris Stratton,SFG,44.0,201,7.6,4.7,1.6,1.6,18.4%,11.4%,7.0%,.299,1.73,.341,69.9%,5.48,4.77
5,2018-10-06,Zack Godley,ARI,42.1,196,8.9,5.1,1.8,1.7,21.4%,12.2%,9.2%,.268,1.63,.314,68.0%,5.62,4.76
6,2018-10-06,Derek Holland,SFG,42.1,177,6.8,3.4,2.0,1.1,18.1%,9.0%,9.0%,.250,1.32,.285,76.0%,4.39,4.69
7,2018-10-06,Clay Buchholz,ARI,28.0,114,7.4,1.6,4.6,1.3,20.2%,4.4%,15.8%,.222,1.04,.247,77.9%,4.02,4.58
8,2018-10-06,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-06,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-06,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-06,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
12,2018-10-06,Joey Lucchesi,SDP,20.2,86,8.3,3.0,2.7,2.6,22.1%,8.1%,14.0%,.266,1.35,.278,96.9%,6.11,3.86
13,2018-10-06,Kyle Freeland,COL,51.1,210,7.9,2.6,3.0,0.9,21.4%,7.1%,14.3%,.237,1.19,.285,78.2%,3.61,3.86
14,2018-10-06,Tyson Ross,SDP,46.1,196,9.1,3.5,2.6,1.0,24.0%,9.2%,14.8%,.239,1.29,.298,78.2%,3.83,3.75
15,2018-10-06,Alex Wood,LAD,40.0,174,9.0,2.5,3.6,1.4,23.0%,6.3%,16.7%,.290,1.45,.353,67.2%,4.01,3.67
16,2018-10-06,Andrew Suarez,SFG,42.2,179,8.4,1.9,4.4,1.3,22.4%,5.0%,17.3%,.278,1.31,.333,63.8%,3.82,3.58
17,2018-10-06,Kenta Maeda,LAD,32.0,131,10.4,3.4,3.1,1.1,28.2%,9.2%,19.1%,.210,1.16,.269,73.3%,3.60,3.57
18,2018-10-06,Patrick Corbin,ARI,53.2,224,10.4,3.2,3.3,1.2,27.7%,8.5%,19.2%,.228,1.21,.293,75.6%,3.78,3.47
19,2018-10-06,Zack Greinke,ARI,49.0,199,9.4,1.8,5.1,1.3,25.6%,5.0%,20.6%,.229,1.08,.277,86.0%,3.61,3.44
20,2018-10-06,Clayton Richard,SDP,54.1,220,7.5,2.3,3.2,0.7,20.4%,6.4%,14.1%,.213,1.05,.255,66.8%,3.46,3.29
21,2018-10-06,Walker Buehler,LAD,46.1,181,9.5,1.6,6.1,0.4,27.1%,4.4%,22.7%,.199,0.91,.267,68.0%,2.25,3.01
22,2018-10-06,Jon Gray,COL,43.1,197,11.6,3.5,3.3,0.8,28.4%,8.6%,19.8%,.268,1.50,.370,64.6%,3.02,3.00
23,2018-10-06,Ross Stripling,LAD,44.2,176,11.1,1.0,11.0,1.0,31.3%,2.8%,28.4%,.234,1.01,.315,89.5%,2.49,2.40
0,2018-10-07,Jeff Samardzija,SFG,27.0,123,6.3,5.3,1.2,1.7,15.4%,13.0%,2.4%,.255,1.59,.268,62.2%,6.05,6.03
1,2018-10-07,Matt Koch,ARI,46.0,194,4.3,2.0,2.2,2.2,11.3%,5.1%,6.2%,.283,1.33,.272,74.6%,6.23,5.13
2,2018-10-07,Eric Lauer,SDP,36.1,176,8.7,5.0,1.8,1.5,19.9%,11.4%,8.5%,.327,1.95,.391,76.7%,5.03,4.93
3,2018-10-07,Ty Blach,SFG,29.1,133,4.3,2.8,1.6,0.6,10.5%,6.8%,3.8%,.325,1.67,.355,61.4%,4.12,4.86
4,2018-10-07,Chris Stratton,SFG,44.0,201,7.6,4.7,1.6,1.6,18.4%,11.4%,7.0%,.299,1.73,.341,69.9%,5.48,4.77
5,2018-10-07,Zack Godley,ARI,42.1,196,8.9,5.1,1.8,1.7,21.4%,12.2%,9.2%,.268,1.63,.314,68.0%,5.62,4.76
6,2018-10-07,Derek Holland,SFG,42.1,177,6.8,3.4,2.0,1.1,18.1%,9.0%,9.0%,.250,1.32,.285,76.0%,4.39,4.69
7,2018-10-07,Clay Buchholz,ARI,28.0,114,7.4,1.6,4.6,1.3,20.2%,4.4%,15.8%,.222,1.04,.247,77.9%,4.02,4.58
8,2018-10-07,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-07,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-07,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-07,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
12,2018-10-07,Joey Lucchesi,SDP,20.2,86,8.3,3.0,2.7,2.6,22.1%,8.1%,14.0%,.266,1.35,.278,96.9%,6.11,3.86
13,2018-10-07,Kyle Freeland,COL,51.1,210,7.9,2.6,3.0,0.9,21.4%,7.1%,14.3%,.237,1.19,.285,78.2%,3.61,3.86
14,2018-10-07,Tyson Ross,SDP,46.1,196,9.1,3.5,2.6,1.0,24.0%,9.2%,14.8%,.239,1.29,.298,78.2%,3.83,3.75
15,2018-10-07,Alex Wood,LAD,40.0,174,9.0,2.5,3.6,1.4,23.0%,6.3%,16.7%,.290,1.45,.353,67.2%,4.01,3.67
16,2018-10-07,Andrew Suarez,SFG,42.2,179,8.4,1.9,4.4,1.3,22.4%,5.0%,17.3%,.278,1.31,.333,63.8%,3.82,3.58
17,2018-10-07,Kenta Maeda,LAD,32.0,131,10.4,3.4,3.1,1.1,28.2%,9.2%,19.1%,.210,1.16,.269,73.3%,3.60,3.57
18,2018-10-07,Patrick Corbin,ARI,53.2,224,10.4,3.2,3.3,1.2,27.7%,8.5%,19.2%,.228,1.21,.293,75.6%,3.78,3.47
19,2018-10-07,Zack Greinke,ARI,49.0,199,9.4,1.8,5.1,1.3,25.6%,5.0%,20.6%,.229,1.08,.277,86.0%,3.61,3.44
20,2018-10-07,Clayton Richard,SDP,54.1,220,7.5,2.3,3.2,0.7,20.4%,6.4%,14.1%,.213,1.05,.255,66.8%,3.46,3.29
21,2018-10-07,Walker Buehler,LAD,46.1,181,9.5,1.6,6.1,0.4,27.1%,4.4%,22.7%,.199,0.91,.267,68.0%,2.25,3.01
22,2018-10-07,Jon Gray,COL,43.1,197,11.6,3.5,3.3,0.8,28.4%,8.6%,19.8%,.268,1.50,.370,64.6%,3.02,3.00
23,2018-10-07,Ross Stripling,LAD,44.2,176,11.1,1.0,11.0,1.0,31.3%,2.8%,28.4%,.234,1.01,.315,89.5%,2.49,2.40
0,2018-10-08,Jeff Samardzija,SFG,27.0,123,6.3,5.3,1.2,1.7,15.4%,13.0%,2.4%,.255,1.59,.268,62.2%,6.05,6.03
1,2018-10-08,Matt Koch,ARI,46.0,194,4.3,2.0,2.2,2.2,11.3%,5.1%,6.2%,.283,1.33,.272,74.6%,6.23,5.13
2,2018-10-08,Eric Lauer,SDP,36.1,176,8.7,5.0,1.8,1.5,19.9%,11.4%,8.5%,.327,1.95,.391,76.7%,5.03,4.93
3,2018-10-08,Ty Blach,SFG,29.1,133,4.3,2.8,1.6,0.6,10.5%,6.8%,3.8%,.325,1.67,.355,61.4%,4.12,4.86
4,2018-10-08,Chris Stratton,SFG,44.0,201,7.6,4.7,1.6,1.6,18.4%,11.4%,7.0%,.299,1.73,.341,69.9%,5.48,4.77
5,2018-10-08,Zack Godley,ARI,42.1,196,8.9,5.1,1.8,1.7,21.4%,12.2%,9.2%,.268,1.63,.314,68.0%,5.62,4.76
6,2018-10-08,Derek Holland,SFG,42.1,177,6.8,3.4,2.0,1.1,18.1%,9.0%,9.0%,.250,1.32,.285,76.0%,4.39,4.69
7,2018-10-08,Clay Buchholz,ARI,28.0,114,7.4,1.6,4.6,1.3,20.2%,4.4%,15.8%,.222,1.04,.247,77.9%,4.02,4.58
8,2018-10-08,Tyler Anderson,COL,41.0,171,6.6,2.4,2.7,1.8,17.5%,6.4%,11.1%,.252,1.24,.265,66.2%,5.11,4.43
9,2018-10-08,Chad Bettis,COL,45.2,196,6.5,2.4,2.8,1.8,16.8%,6.1%,10.7%,.275,1.36,.293,68.1%,5.20,4.34
10,2018-10-08,Jordan Lyles,SDP,40.0,175,7.7,2.5,3.1,2.0,19.4%,6.3%,13.1%,.293,1.48,.322,73.3%,5.21,4.02
11,2018-10-08,German Marquez,COL,45.2,200,8.9,3.0,3.0,1.8,22.5%,7.5%,15.0%,.273,1.42,.318,80.9%,4.87,4.01
